,LandAverageTemperatureUncertainty,UpperBounds,LowerBounds,month,year,Average_Temperature,Datetime
327,1.401,7.762999999999999,4.960999999999999,4,1777,6.361999999999999,1777-04-01
328,2.117,13.506,9.271999999999998,5,1777,11.389,1777-05-01
329,1.607,13.93,10.716000000000001,6,1777,12.323,1777-06-01
330,1.078,13.821,11.665000000000001,7,1777,12.743,1777-07-01
331,1.2690000000000001,14.084,11.546,8,1777,12.815,1777-08-01
332,2.6919999999999997,14.071,8.687,9,1777,11.379,1777-09-01
333,3.464,10.42,3.4920000000000004,10,1777,6.956,1777-10-01
334,2.276,7.805,3.253,11,1777,5.529,1777-11-01
335,2.725,5.792,0.3420000000000001,12,1777,3.067,1777-12-01
336,3.5439999999999996,6.0649999999999995,-1.0229999999999997,1,1778,2.521,1778-01-01
337,3.569,9.663,2.5249999999999995,2,1778,6.093999999999999,1778-02-01
338,4.151,8.754999999999999,0.4530000000000003,3,1778,4.604,1778-03-01
339,1.69,12.673999999999998,9.293999999999999,4,1778,10.983999999999998,1778-04-01
340,1.673,12.959,9.613,5,1778,11.286,1778-05-01
341,3.975,15.706,7.756,6,1778,11.731,1778-06-01
342,2.2159999999999997,17.253,12.821000000000002,7,1778,15.037,1778-07-01
343,2.658,15.527000000000001,10.211000000000002,8,1778,12.869000000000002,1778-08-01
344,2.35,15.727,11.027000000000001,9,1778,13.377,1778-09-01
345,3.608,11.657,4.440999999999999,10,1778,8.049,1778-10-01
346,2.675,6.529,1.1790000000000003,11,1778,3.854,1778-11-01
347,2.3609999999999998,4.462,-0.2599999999999998,12,1778,2.101,1778-12-01
348,2.802,4.272,-1.3319999999999999,1,1779,1.4700000000000002,1779-01-01
349,4.959,10.099,0.18100000000000005,2,1779,5.14,1779-02-01
350,3.017,9.984,3.9500000000000006,3,1779,6.9670000000000005,1779-03-01
351,3.0860000000000003,13.051,6.879,4,1779,9.965,1779-04-01
352,1.8630000000000002,16.043,12.317,5,1779,14.18,1779-05-01
353,2.14,14.687000000000001,10.407,6,1779,12.547,1779-06-01
354,1.858,15.517000000000001,11.801,7,1779,13.659,1779-07-01
355,1.4780000000000002,15.277,12.321,8,1779,13.799,1779-08-01
356,1.8090000000000002,14.492,10.873999999999999,9,1779,12.683,1779-09-01
357,1.544,10.894,7.805999999999999,10,1779,9.35,1779-10-01
358,2.258,8.028,3.5120000000000005,11,1779,5.7700000000000005,1779-11-01
359,3.2560000000000002,5.525,-0.9870000000000001,12,1779,2.269,1779-12-01
360,3.438,5.953,-0.923,1,1780,2.515,1780-01-01
361,3.179,7.259,0.9010000000000002,2,1780,4.08,1780-02-01
362,2.381,8.105,3.3430000000000004,3,1780,5.724,1780-03-01
363,3.0580000000000003,16.79,10.674,4,1780,13.732,1780-04-01
364,1.419,17.176,14.337999999999997,5,1780,15.756999999999998,1780-05-01
365,2.9810000000000003,17.728,11.766,6,1780,14.747,1780-06-01
366,1.3,17.483,14.883,7,1780,16.183,1780-07-01
367,3.1310000000000002,16.078,9.815999999999999,8,1780,12.947,1780-08-01
368,2.104,10.948,6.739999999999999,9,1780,8.844,1780-09-01
369,1.8730000000000002,11.248999999999999,7.502999999999999,10,1780,9.376,1780-10-01
370,2.596,9.302,4.11,11,1780,6.706,1780-11-01
371,3.5580000000000003,6.142,-0.9740000000000002,12,1780,2.584,1780-12-01
372,4.948,7.349,-2.5470000000000006,1,1781,2.401,1781-01-01
373,3.5810000000000004,5.848000000000001,-1.3140000000000005,2,1781,2.267,1781-02-01
374,2.443,7.215,2.329,3,1781,4.772,1781-03-01
375,2.076,8.998999999999999,4.8469999999999995,4,1781,6.922999999999999,1781-04-01
376,1.838,12.940000000000001,9.264,5,1781,11.102,1781-05-01
377,1.385,13.062999999999999,10.293,6,1781,11.677999999999999,1781-06-01
378,1.696,15.981,12.589,7,1781,14.285,1781-07-01
