BOROUGH,NEIGHBORHOOD,BUILDING_CLASS_CATEGORY,TAX_CLASS_AT_PRESENT,BLOCK,LOT,EASE-MENT,BUILDING_CLASS_AT_PRESENT,ADDRESS,APARTMENT_NUMBER,ZIP_CODE,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,BUILDING_CLASS_AT_TIME_OF_SALE,SALE_PRICE,SALE_DATE
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,2417,,R4,"300 ALBANY STREET, 3N",3N,10280.0,1.0,0.0,1.0,0,647.0,1986.0,2,R4,496860,2019-03-18
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,5072,,R4,"200 RECTOR PLACE, 31B",31B,10280.0,1.0,0.0,1.0,0,948.0,1987.0,2,R4,1275000,2019-03-20
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,4136,,R4,"300 RECTOR PLACE, 8R",8R,10280.0,1.0,0.0,1.0,0,565.0,0.0,2,R4,520000,2019-03-25
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,142,1847,,R4,"111 MURRAY STREET, 17A",17A,10007.0,1.0,0.0,1.0,0,1593.0,2016.0,2,R4,3920263,2019-03-25
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,190,1321,,R4,"27 NORTH MOORE, 4C",4C,10013.0,1.0,0.0,1.0,0,2300.0,0.0,2,R4,4500000,2019-03-25
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,84,1040,,R4,"140 WEST STREET, 12F",12F,10007.0,1.0,0.0,1.0,0,2028.0,1930.0,2,R4,3550000,2019-04-01
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,2802,,R4,"380 RECTOR PLACE, 23J",23J,10280.0,1.0,0.0,1.0,0,1014.0,0.0,2,R4,1320000,2019-04-02
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,8162,,R4,"2 SOUTH END AVENUE, 9J",9J,10280.0,1.0,0.0,1.0,0,1359.0,1990.0,2,R4,1404586,2019-04-04
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,142,1936,,R4,"111 MURRAY STREET, 50W",50W,10007.0,1.0,0.0,1.0,0,3260.0,2016.0,2,R4,12200000,2019-04-05
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,2220,,R4,"250 SOUTH END AVENUE, 4B",4B,10280.0,1.0,0.0,1.0,"12,644",830.0,1985.0,2,R4,785000,2019-04-08
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,5052,,R4,"200 RECTOR PLACE, 10B",10B,10280.0,1.0,0.0,1.0,0,951.0,1987.0,2,R4,1175000,2019-04-08
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,137,1091,,R4,"295 GREENWICH STREET, 8EN",8EN,10007.0,1.0,0.0,1.0,0,652.0,1987.0,2,R4,982500,2019-04-08
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,220,1203,,R4,"28 LAIGHT STREET, 1C",1C,10013.0,1.0,0.0,1.0,0,3428.0,0.0,2,R4,3850000,2019-04-08
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,141,1060,,R4,"166 DUANE STREET, 4C",4C,10013.0,1.0,0.0,1.0,0,2311.0,0.0,2,R4,3400000,2019-04-10
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,2066,,R4,"350 ALBANY STREET, 7C",7C,10280.0,1.0,0.0,1.0,0,704.0,0.0,2,R4,710000,2019-04-11
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,3663,,R4,"1 RIVER TERRACE, 6N",6N,0.0,1.0,0.0,1.0,0,1580.0,2006.0,2,R4,2700000,2019-04-11
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,217,1410,,R4,"401 WASHINGTON STREET, 4A",4A,10013.0,1.0,0.0,1.0,"19,936",2042.0,1915.0,2,R4,4100000,2019-04-11
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,140,1127,,R4,"311 GREENWICH STREET, 4G",4G,10013.0,1.0,0.0,1.0,"9,900",638.0,0.0,2,R4,895000,2019-04-12
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,3720,,R4,"2 RIVER TERRACE, 10T",10T,0.0,1.0,0.0,1.0,0,1816.0,2006.0,2,R4,3635000,2019-04-15
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,4486,,R4,"212 WARREN STREET, 26G",26G,10282.0,1.0,0.0,1.0,0,2481.0,2000.0,2,R4,4800000,2019-04-18
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,142,1926,,R4,"111 MURRAY STREET, 45W",45W,10007.0,1.0,0.0,1.0,0,3201.0,2016.0,2,R4,12040000,2019-04-18
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,2776,,R4,"380 RECTOR PLACE, 20H",20H,10280.0,1.0,0.0,1.0,0,1096.0,1985.0,2,R4,1550000,2019-04-19
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,218,1110,,R4,"92 LAIGHT STREET, 4A",4A,10013.0,1.0,0.0,1.0,0,2221.0,2004.0,2,R4,4600000,2019-04-22
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,2695,,R4,"380 RECTOR PLACE, 6E",6E,10280.0,1.0,0.0,1.0,0,661.0,0.0,2,R4,750000,2019-04-23
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,1124,,R4,"377 RECTOR PLACE, 25E",25E,10280.0,1.0,0.0,1.0,0,814.0,0.0,2,R4,1150403,2019-04-24
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,222,1206,,R4,"443 GREENWICH STREET, 1F",1F,10013.0,1.0,0.0,1.0,"35,127",2429.0,1905.0,2,R4,5761259,2019-04-24
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,1806,,R4,"70 LITTLE WEST STREET, 11K",11K,10004.0,1.0,0.0,1.0,0,1601.0,2006.0,2,R4,2600000,2019-04-29
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,8071,,R4,"2 SOUTH END AVENUE, 5G",5G,10280.0,1.0,0.0,1.0,0,634.0,1990.0,2,R4,605000,2019-04-29
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,8132,,R4,"2 SOUTH END AVENUE, 8B",8B,10280.0,1.0,0.0,1.0,0,939.0,1990.0,2,R4,960000,2019-04-30
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,140,1162,,R4,"311 GREENWICH ST, 8B",8B,10013.0,1.0,0.0,1.0,"9,900",695.0,0.0,2,R4,975000,2019-04-30
